role,skills,education,experience_type
data_analyst,"data analysis, data analytics, data integration, data mining, data modelling, data science, database management, flask, machine learning, natural language processing, predictive analytics, python, sql, statistical modelling",B.Tech/B.E.,experienced
hr,"access, accounting system, accounts payable, administrative support, agency, auditing, budget, clerical, client, clients, closing, communicator, conferences, contracts, copying, customer service, customer service skills, database, e-mail, editing, english, excel, faxing, filing, finance, financial, financial analyst, financial reports, forms, human resources, mail, marketing materials, meetings, microsoft office, organizing, outlook, payroll, people soft, personnel, powerpoint presentations, quick learner, safety, scanning, spanish, spreadsheet, spreadsheets, tables, team player, telephone, transportation, word, written",Bachelor of Science,experienced
intern,"data extraction, data mining, data modelling, data science, data visualisation, machine learning, natural language processing, powerbi, text analysis",B.Tech,experienced
executive - vat,"artificial intelligence, data modeling, data validation, data visualization, deep learning, machine learning, matplotlib, method development, mongodb, mysql, plotly, python, seaborn",B.Tech,experienced
site engineer,"account reconciliations, accounting, accruals, ad, as 400, balance sheet, balance sheets, budget, budgets, controller, corporate finance, director, erp, finance, financial, financial reporting, financial reports, financial statements, fixed assets, forms, general ledger, image, image freeway, inventory, jd edwards, ledger, lx, macros, materials, microsoft access, microsoft accounting office, microsoft excel, microsoft outlook, microsoft powerpoint, microsoft word, month end close, office, operations management, pivot tables, progress, quickbooks, reporting, requirement, research, sage, sage fas, sales, sap, tax, year-end","Master of Business Administration, Bachelor of Science",experienced
ai engineer,"autocad, c++, communication, electrical mechanical systems, engineering economy, industrial electricity, instrumentation and controls, leadership, problem solving skills, programmable logic controllers, team work, technical grammar skills, visual basics",Bachelor of Science,experienced
site engineer,"accountable for, accounts and, administrative support, advertising, and marketing, audit, aviation, branding, budgeting, budgets, business development, class, clients, community outreach, comprehensive large array data stewardship system, cost control, direct marketing, energetic, excellent multitasker, executive assistant, finance, for selling, forecasting, from sales, fundraising, highly organized, implemented sales, increase, its, key accounts, mac, maintenance, managed sales, market trends, marketing, marketing plan, networking, of sales, ordering, overall sales, project development, promotional, public relations, quicken, relationship management, sale and, sales, sales and, sales forecasting, sales objectives, sales plan, sales strategies, san, scheduling, self motivated, selling and, shipping, simultaneous, storage area network, strategic planning, teaching, the sale, the sales, training, very organized","MSc, BA (Honors)",experienced
mechanical designer,"a monitor flow of credit union transactions from the various supporting systems into and out of the general ledger daily, access, accounting, accounting operations professional, accounting system, accounts payable, accruals, advanced bookkeeping skills, along with other finance department staff, and identifies and resolves errors, and irregularities to provide accurate records for tfcu and its service organizations, and resolving discrepancies, and works with branch staff to ensure incoming wires are posted and resolve issues, approval by appropriate party, articulate, atm, banking, budget, business intelligence, calculates and posts month end and year-end accruals as needed, calculator, cash flow, cash flow analysis, cashier, closing, coding, credit, data trending knowledge, documentation, equipment maintenance, excel, filing, finance, financial, financial reports, financial statements, fixed assets, funds, general ledger, general ledger accounts, identifies vendors requiring an irs form 1099 and prepares the form and transmittal, including ordering and canceling cards, input into the system, invoice coding familiarity, ledger, mailing, maintains files, manages the accounts payable function - including employee, manages the corporate visa accounts for managers and volunteers, microsoft office, microsoft word, networks, office, omissions, peoplesoft, phone, policies, powerpoint, preparation of financial statements, prepares analyses as requested by manager and other departments, prepares budget variance reports for various departments as assigned, processes, processes outgoing and incoming wires, processing corporate visa accounts for payment, quickbooks expert, receiving, reconciling, reporting, research, responds to inquiries from that manager regarding budgeted and actual expenses, responsible for assisting with the preparation of financial statements, responsible for maintaining fixed assets and prepaid sub-ledger accounts, responsible for preparing and posting entries for the daily posting packet, sales, scanning, scheduling, self-motivated professional, strong communication skills, such as shared branching and atm transaction networks, superior attention to detail, system originated interfaces refers to the credit union owned system as well as external systems, through cost center coding, to check preparation and mailing, verifies and balances system originated interfaces and posts non-system generated transactions prepared from other sources, verifies those wires have all required documentation, volunteer reimbursement - from processing incoming invoices, works, works with that department manager in preparation of annual budget, year-end",Bachelor of Science Degree,experienced
devops engineer,"algorithm development, computer vision, data analysis, data mining, data science, deep learning, linear regression, machine learning, market basket analysis, nosql, python, r, sql, statistical analysis","B.Com, PG Diploma",experienced
mechanical engineer,"approach, balance sheet, bonds, budgeting, business development, cash flow, clinical research, clinical trials, com, consulting, corporate finance, crm, database, email, english, equities, fast, financial, financials, financing, fundraising, funds, graphical user interface, information systems, innovation, inventory, marketing, network, neural, next, presentations, sales, scientific, spanish, speaker, strategic, strategy, streamline, websites","Master's in Finance, Bachelor of Science",experienced
network support engineer,"budgeting, business management, employee management, inventory management, leadership development, operations management, project management, risk management, staff development","Masters of Public Administration, B.A. General Studies, High School Diploma",experienced
ai engineer,"accounting, accounting systems, ad, analytical skills, auditing, automation, billing, budget, budgeting, budgets, business operations, business process, cash flow, cash-flow, closing, contracts, cpa, crystal reports, database management, enterprise, essbase, excel, financial, financial accounting, financial analysis, financial reporting, financial statements, fixed assets, forecasting, general ledger, great plains, hyperion, inventory, law, ledger, market, mas 90, ms office, negotiation, peachtree, personnel, planning, policies, pricing, processes, quantitative analysis, quickbooks, reconciling, relationship management, reporting, research, researching, sales, sarbanesoxley, senior management, strategic planning, tax, tax preparation, taxes, trend",BS,experienced
executive/ sr. executive -it,"access, adobe, advanced presentation, advanced problem solving abilities, basic financial and operational reporting, budgeting, business analysis, cross-functional team leadership, customer relations, developing other business analyst, document reports, fast learner, microsoft project, negotiation, oracle, organization, project coordinator, public speaking, python, quality assurance, quality control, research, sap, spss, sql, strong requirement tracing, superb communication skills",Bachelor of Arts,experienced
executive/ sr. executive -it,"2000, affirmative action compliance, api, approach, atl, audio, backup, broadcast, c#, c++, ca, cli, clients, com, compensation, compensation administration, concept, content, documentation, drawing, dynamic html5, editing, employee relations, exceptional interpersonal skills, explorer, ftp, functional, gui, hardware, hiring and retention, http, ids, innovation, ip, javascript, json, lan, mb, mediation expertise, mfc, migration, nas, new hire orientation, office, oop, page, payroll, personnel records maintenance, proxy, recruiting, rendering, san, scrum, servers, specification, team management, threads, training and development, troubleshoot, video, video editing, visual c++, win, windows, workflow, writer, xml","M.S, B.E",experienced
mechanical designer,"computer vision, contextual reasoning, deep learning, image processing, machine learning, neural networks",B.Tech,fresher
asst. manager/ manger (administrative),"artificial intelligence, data analysis, debugging, django, docker, github, jira, machine learning, natural language processing, postgresql, project management, python, relational databases, restapi, software developer, software development, tornado","BCA, MCA",experienced
site engineer,"acronis true image, hwinfo, mcafee endpoint security, memtest86, microsoft windows 10, powershell, recuva, teamviewer, vmware workstation, wireshark",Bachelor of Science,experienced
asst. manager/ manger (administrative),,"M.S., B.S.",experienced
software_engineer,"basic, c++, cpr certified, data acquisition, designing, digital design, direction, documentation, electronics i, engineer, excel, fashion, first aid, html programming, intel, labview, market, materials, matlab, ms office, multimeters, natural, oscilloscopes, physics, physics i, powerpoint, pspice, quality, safety, schematics, speaking, sql, statistics, supervisory control and data acquisition, systems design i, technical writing, verilog, vhdl, vi, web design, windows 2000, word","B.S, B.S",experienced
asst. manager/ manger (administrative),"account reconciliation processes, active-listening, administrative support, and critical thinking skills, customer service, data entry, financial statements, general ledger proficiency, interpersonal, microsoft office, proficient in polish language, superior analytical skills","Bachelor of Science, Associate",experienced
ai engineer,"careful and active listener, fluent in spanish, hungry for growth and continuous learning, proactive and energetic, self-starter & self-motivated",Bachelors of Arts,experienced
senior ios engineer,"aws, computer vision, data analysis, data mining, decision trees, deep learning, flask api, machine learning, multivariate analysis, mysql, nlp, numpy, predictive modeling, python, random forest, scikit-learn, statistical analysis, xgboost",B.Tech/B.E.,experienced
mechanical designer,"access, accounting, c, civil engineer, client, director, documentation, english, enterprise, excel, fast, front office, mail, meeting facilitation, meetings, microsoft office, multi-line telephone, office, outlook, personnel, phone, pick, powerpoint, proofing, quality, research, self motivated, self-starter, shipping, spanish, spreadsheets, supervision, typing, website, word, written communication","Business Certification, International Business",experienced
asst. manager/ manger (administrative),"business and requirements analysis, decisive leader, leadership mentoring, operations management, performance tracking and evaluation, project analysis, project management, risk management, secret clearance, team building","Graduate Certificate, MBA, Bachelor of Science",experienced
network support engineer,"mercurial, python, visual studio code",B.S.,experienced
machine learning (ml) engineer,"api design, data analysis, html, java, machine learning, matplotlib, natural language processing, python, sap, seaborn, software developer, sql, tableau",BCA,experienced
devops engineer,"business analysis, logistic regression, machine learning, numpy, pandas, python, sql",B.TECH,experienced
data_analyst,"skill 1, skill 2, skill 3, skill 4, skill 5, skill 6",Bachelor of Science /Arts,fresher
"system administrator (operation & maintenance of server, storage & service desk system)","application development, keras, machine learning, object oriented programming, python, scikit learn, software engineering, tensorflow","B.Tech, M.Tech",experienced
asst. manager/ manger (administrative),"account reconciliation expert, accounting operations, chasepaymentech, complex problem solving, effective time management, epicor, excel, flexible team player, general ledger accounting, glacier tax prep, intuit payroll, netsuite, office master system, outlook, peachtree, quickbooks, sage, strong communication skills, strong organizational skills, word","Master of Science, Bachelor of Science",experienced
hr,"accountable for, accounts and, administrative support, advertising, and marketing, audit, aviation, branding, budgeting, budgets, business development, class, clients, community outreach, comprehensive large array data stewardship system, cost control, direct marketing, energetic, excellent multitasker, executive assistant, finance, for selling, forecasting, from sales, fundraising, highly organized, implemented sales, increase, its, key accounts, mac, maintenance, managed sales, market trends, marketing, marketing plan, networking, of sales, ordering, overall sales, project development, promotional, public relations, quicken, relationship management, sale and, sales, sales and, sales forecasting, sales objectives, sales plan, sales strategies, san, scheduling, self motivated, selling and, shipping, simultaneous, storage area network, strategic planning, teaching, the sale, the sales, training, very organized","MSc, BA (Honors)",experienced
business development executive,"data analysis, data analyst, data mining, data science, data visualization, machine learning, natural language processing","B.Tech, M.Tech",experienced
asst. manager/ manger (administrative),"artificial intelligence, data analysis, data analytics, data exploration, data mining, deep learning, linear regression, machine learning, sequential analysis",B.Tech,experienced
"system administrator (operation & maintenance of server, storage & service desk system)","aws view, business analysis, business analyst, data analysis, machine learning, nodejs, python, r, seaborn, tableau",BBA,experienced
software_engineer,"2010, adobe captivate, blackboard, business objects, cerner, clarity, cognos, doors, echimp, eclipsys, ehrs, epic, er, excel, facet, hboc, heat, i-max, idx, macess, mini-tab, one note, oracle, outlook, pcanywhere, power point, project, sas, sharepoint, sharepoint foundation 2007, spss, sql server 2005, studio, visio, word","Masters of Business Administration, Attending, Bachelor of Science, Associate of Science",experienced
senior ios engineer,"business analysis, business analyst, data analytics, data cleansing, deep learning, machine learning, numpy, python, risk analysis, statistical analysis",B.BA,experienced
management trainee - mechanical,"author, billing, book, budgets, client, client liaison, clients, coaching, contract administration, crm, customer relationship management, customer satisfaction, customer service, delivery, directing, government, information technology, invoicing, leadership, managing, market, marketing, mentoring, office, organizational, policies, project management, relationship management, rfp, sales, sales and management, staffing, telecommunications, training programs","Associate's degree, Bachelor of Science",experienced
software_engineer,"account reconciliation expert, account reconciliations, analytical, business objects, company platforms: business objects, company platforms: dras, company platforms: eagle, company platforms: lombardi, company platforms: pega, company platforms: workbench, complex problem solving, detail-oriented, dras, eagle accounting system, effective time management, expert in ms office suite, internet, lombardi, macros, microsoft office, ms excel, ms office: database, ms office: outlook, ms office: pivot tables, ms office: v-look up, ms power point, ms word, pega, pivot tables, spreadsheets, superior research skills, variance analysis, workbench","Master of Business Administration, Bachelor of Science",experienced
executive/ sr. executive -it,"administrative assistant, benefits, clerical, clients, data entry, database, excel, experienced with microsoft office - word, features, filing, forms, gis, mail, mailing, meetings, microsoft office - word, office equipment, outlook, phone, policies, processes, reception, recording, retail, scanning, sharepoint, sharepoint & costpoint, telephone, typing",B.S. Degree,experienced
marketing,"account reconciliation processes, active-listening, administrative support, and critical thinking skills, customer service, data entry, financial statements, general ledger proficiency, interpersonal, microsoft office, proficient in polish language, superior analytical skills","Bachelor of Science, Associate",experienced
management trainee - mechanical,"aws, azure databricks, data manipulation, data mining, machine learning, powerbi, pyspark, python, r programming, sql, tableau",B.Tech,experienced
devops engineer,"act!, adc, and marketing, b2c, bi, budget, business development, business intelligence, business process improvement, business requirements, business writing, clients, coaching, compounding, contracts, correspondence, data mining, drafting, e-learning, excel, fannie mae, federal acquisition, federal government, fedex, finance, fundraising, gse, horizontal, hospital pharmacy, increase, instructor, integration, integrator, inventory, investor relations, lending, loans, maintenance, market share, marketing, marketing collateral, marketing department, marketing plan, mba, mckesson, mentoring, metrics, microsoft office, microsoft sharepoint, mortgage, mortgage banking, mortgage lending, ms office, networking, operations, outlook, outpatient, pentaho, pharmacy, powerpoint, pricing, process improvement, progress, project management, project plans, promotional, proposal development, publisher, real estate, retail, retail marketing, retail mortgage, robotic, sales, sales manager, sap, sharepoint, siebel, six sigma, six-sigma, solutions, strategic marketing, strategic planning, training, user experience, visio, web based, web-based, white papers, word","Pharmacy Technician, Executive MBA, Bachelor of Arts",experienced
executive - vat,"artificial intelligence, data analyst, data mining, forecasting, predictive modelling, related skills, statistical solutions",B.Tech (Mechanical),experienced
management trainee - mechanical,"control, electronic & mechanical technology, leadership, lean, maintenance management, material management, mechanical component troubleshooting, microsoft access, microsoft office, microsoft project, program management, project management, quality assurance, safety compliance, sap, sharepoint, six sigma principles, staff development, technical interface","MBA, Bachelor of Science, Associate of Science",experienced
management trainee - mechanical,"algorithm development, computer vision, data analysis, data mining, data science, deep learning, linear regression, machine learning, market basket analysis, nosql, python, r, sql, statistical analysis","B.Com, PG Diploma",experienced
executive/ sr. executive -it,"a monitor flow of credit union transactions from the various supporting systems into and out of the general ledger daily, access, accounting, accounting operations professional, accounting system, accounts payable, accruals, advanced bookkeeping skills, along with other finance department staff, and identifies and resolves errors, and irregularities to provide accurate records for tfcu and its service organizations, and resolving discrepancies, and works with branch staff to ensure incoming wires are posted and resolve issues, approval by appropriate party, articulate, atm, banking, budget, business intelligence, calculates and posts month end and year-end accruals as needed, calculator, cash flow, cash flow analysis, cashier, closing, coding, credit, data trending knowledge, documentation, equipment maintenance, excel, filing, finance, financial, financial reports, financial statements, fixed assets, funds, general ledger, general ledger accounts, identifies vendors requiring an irs form 1099 and prepares the form and transmittal, including ordering and canceling cards, input into the system, invoice coding familiarity, ledger, mailing, maintains files, manages the accounts payable function - including employee, manages the corporate visa accounts for managers and volunteers, microsoft office, microsoft word, networks, office, omissions, peoplesoft, phone, policies, powerpoint, preparation of financial statements, prepares analyses as requested by manager and other departments, prepares budget variance reports for various departments as assigned, processes, processes outgoing and incoming wires, processing corporate visa accounts for payment, quickbooks expert, receiving, reconciling, reporting, research, responds to inquiries from that manager regarding budgeted and actual expenses, responsible for assisting with the preparation of financial statements, responsible for maintaining fixed assets and prepaid sub-ledger accounts, responsible for preparing and posting entries for the daily posting packet, sales, scanning, scheduling, self-motivated professional, strong communication skills, such as shared branching and atm transaction networks, superior attention to detail, system originated interfaces refers to the credit union owned system as well as external systems, through cost center coding, to check preparation and mailing, verifies and balances system originated interfaces and posts non-system generated transactions prepared from other sources, verifies those wires have all required documentation, volunteer reimbursement - from processing incoming invoices, works, works with that department manager in preparation of annual budget, year-end",Bachelor of Science Degree,experienced
hr,"access, asp.net, autocad, budgeting, c#, cnc, continuous improvement, data collection, documentation, erp, erp-sap, excel, grinders, inventory control, iso, languages, lathe, layout, layout design, logistics, materials, ms office suite (word, ms visual studio, new product development, outlook, payroll, philosophy, powerpoint, process design, process improvement, processes, product development and design, project, project management, project plans, quality, quality control, research, safety, sap, sas, sas-stat, simulation, simulations using witness13 and simio, six sigma, sql, statistical process control, supply chain, visio, visio), visual basic, word","Master of Science, Bachelor of Engineering",experienced
network support engineer,"api design, data analysis, html, java, machine learning, matplotlib, natural language processing, python, sap, seaborn, software developer, sql, tableau",BCA,experienced
site engineer,"budget, business strategy, consultation, customer relationship management, delivery, direct mail, directing, driving, email, forecasting, graphic, graphic design, image, inside sales, inventory, market, marketing, marketing & sales, marketing strategy, mentor, new business development, optimization, policies, presentations, sales, senior management, strategy",Associate of Arts,experienced
software_engineer,"administrative assistant, benefits, clerical, clients, data entry, database, excel, experienced with microsoft office - word, features, filing, forms, gis, mail, mailing, meetings, microsoft office - word, office equipment, outlook, phone, policies, processes, reception, recording, retail, scanning, sharepoint, sharepoint & costpoint, telephone, typing",B.S. Degree,experienced
hr,"2010, adobe captivate, blackboard, business objects, cerner, clarity, cognos, doors, echimp, eclipsys, ehrs, epic, er, excel, facet, hboc, heat, i-max, idx, macess, mini-tab, one note, oracle, outlook, pcanywhere, power point, project, sas, sharepoint, sharepoint foundation 2007, spss, sql server 2005, studio, visio, word","Masters of Business Administration, Attending, Bachelor of Science, Associate of Science",experienced
hr,"data analysis, l1 l2 regression, machine learning, powerbi, python, r, statistical analysis, tableau",B.Tech,experienced
management trainee - mechanical,"conversational ai, machine learning, natural language processing, nltk, numpy, python programming, series analysis, text analysis, transformers",B.Tech,experienced
asst. manager/ manger (administrative),"cloud architecture, conversational ai, gru, huggingface, lstm, machine learning, natural language processing, rnn, transformers",B.Tech,experienced
network support engineer,"access database queries & data mining, cch & ria tax research, finance and tax research - lexis-nexis, formulas, image scanner asset manager -10-key; printers & scanners; general office tools, infolease for lease and financial accounting & citconnect research, internet accounting, microsoft excel expert - pivot tables, ms word, oracle experience, outlook, peoplesoft use & knowledge - queries & data mining, powerpoint, proficient in microsoft office, quickbooks, sharepoint use experience, stat- fsi track, ultra tax, v-lookups","MBA, BBA - Accounting, BBA - Finance",experienced
"system administrator (operation & maintenance of server, storage & service desk system)","and humidity, apqp, assembly, biotechnology, calibration, circuit boards, control system design, control systems, corrective maintenance, dmm, documentation, electrical engineer, electrical engineering, electrical mechanical, electrical test, engineer, entry level, esd, estimation, first article inspection, hydraulics, ieee, industrial machinery, inspection, maintenance, manufacturing process, mechanical, mechanical technician, medical devices, oscilloscope, packaging, pneumatics, pr, preventive maintenance, proactive, process control, production process, project manager, public relations, schematic, self motivated, sensor, sensors, soldering, sop, surface mount, temperature, test engineer, testing, through-hole, training, wiring",Bachelor of Science,experienced
senior ios engineer,"chain management, defect detection, embedded software development, embedded systems, machine learning, project management, unit testing",B.Tech,experienced
senior ios engineer,"a highly motivated and energetic personality., ability to take initiative and exhibit flexibility., ability to translate technical specifications, adaptability, building commissioning experience, demonstrated organizational, drilling engineering, excel training, excellent customer service skills., full finish, hands on training: electrical, have interpersonal skills to deal effectively with all business contacts., hotsos training, interpersonal communication skills, leadership development program, management training, outlook training, painting, planning skills, pluming, project management, stratton warren ""mms"", team builder, training program implementation, wall paper",High School Diploma,experienced
executive/ sr. executive -it,"artificial intelligence, business associate, business development, cloud, computer vision, conversational ai, data analytics, m&e, machine learning, nlp, predictive analytics, presales, program management, rfp, sales, telecommunication",B.Tech,experienced
project coordinator (civil),"2008-2010, algorithms, analytical and logical, apple, apple lion, asp.net, budget management, business objects, c++, calculator, calm under pressure, change management, client, coach, complex problem solving, computersavvy, continuous improvement, css, customer relations, customer service, dmaic, documentation, facilities management, financial reporting, fmea, gui, hr, html, human resource management, interpersonal skills, inventory, inventory control, inventory levels, java, java 1, java 2, java script, keynote, leadership skills, lean manufacturing, lean manufacturing and management, maintain records, managing, manufacturing process, materials, microsoft access, microsoft access 2010, microsoft office, microsoft office 2003-2011, microsoft project, microsoft visio, motivational, netbeans, numbers, operations management, out of the box thinking, pages, personnel, pfd, policies, policy, powersteering, problem-solving skills, processes, program development, project management, purchasing, quality, rcm, re-engineering, repairs, reporting, safety, sap, six sigma, six sigma certified, six sigma tools and methodologies, software engineering, software training, sound judgment, sql server, sql server 2008, strong leadership skills, supervision, supervision and training, supply chain, supply chain management, tango, textpad, user support, vb.net, visual studio, visual studio 2008-2010, water treatment, web design 1, web design 2, websites, works","B.S, M.S, B.S.I.T",experienced
executive/ sr. executive -it,"css, deep learning, flutter, front end, html, javascript, machine learning, neural networks, python, tensorflowjs, web development",B.Tech,experienced
ai engineer,"advanced excel, business intelligence, clustering, dashboards, data analysis, eda, linear regression, logistic regression, machine learning, mis reporting, mongodb, mysql, nosql, power bi, python, sql, statistical analysis","B.A (Economics), M.A (Economics), Correspondence/Distance Learning",experienced
mechanical designer,"data analysis, data analytics, data integration, data mining, data modelling, data science, database management, flask, machine learning, natural language processing, predictive analytics, python, sql, statistical modelling",B.Tech/B.E.,experienced
management trainee - mechanical,"business analysis, business intelligence, data analytics, graphql, linear regression, logistic regression, python",B.A,experienced
mechanical designer,"active learning, client relations, computer proficiency, creative problem solving, critical thinking, data collection, data entry, documentation, email, executive management support, filing, internet research, letters and memos, managing multiple priorities, meticulous attention to detail, minute taking, multi-task management, organizational skills, problem resolution, research, results-oriented, scheduling, service orientation, speaking, spreadsheets, travel arrangements",High School Diploma,experienced
executive/ sr. executive -it,"c, c++, code blocks, css, data structures, google colab, html, java, javascript, jupyter notebook, keras, matlab, ms office, numpy, opencv, pycharm, pytesseract, python, scikit-learn, sql, tensorflow, turbo c++","B.Tech. (Electrical Engineering Specialization in Computer Science), XII, X",experienced
executive - vat,"angularjs, api, aws, deep learning, flask, javascript, kafka, keras, machine learning, php, pyspark, pytorch, restapi, sap, tensorflow, xml",B.Tech(IT),experienced
executive/ sr. executive -it,"business analysis, business intelligence, data analytics, graphql, linear regression, logistic regression, python",B.A,experienced
site engineer,"a, access, account reconciliation, accounting, accounting software, accounts payables, accounts receivables, analyze financial statements, arabic, balance sheet, bank reconciliations, banking, billing, bookkeeping, budget, budgeting, budgets, client, clients, closing, controller, documentation, english, equity, excel, express, finance, financial, financial analysis, financial statements, fixed assets, forecasting, general accounting, general ledger, gl, inventory, investments, ledger, market, monitors, ms word, organizational, outlook, p, payables, payroll, personnel, powerpoint, prepare financial statements, problem solving, processes, profit, profit and loss account, public accounting, quickbooks, reporting, sales, strong communication skills, supervision, swedish, tax, tax returns, year-end","Master of Accountancy, Bachelor of Accountancy Degree, Bachelor of Accountancy, Certificate of Business Administration",experienced
hr,"chain management, defect detection, embedded software development, embedded systems, machine learning, project management, unit testing",B.Tech,experienced
mechanical designer,"bert, deep learning, gpt, machine learning, natural language processing, nltk, ocr, python, sentiment analysis, text analysis, text extraction, xlnet",B.TECH,experienced
devops engineer,"author, billing, book, budgets, client, client liaison, clients, coaching, contract administration, crm, customer relationship management, customer satisfaction, customer service, delivery, directing, government, information technology, invoicing, leadership, managing, market, marketing, mentoring, office, organizational, policies, project management, relationship management, rfp, sales, sales and management, staffing, telecommunications, training programs","Associate's degree, Bachelor of Science",experienced
asst. manager/ manger (administrative),"business analysis, logistic regression, machine learning, numpy, pandas, python, sql",B.TECH,experienced
project coordinator (civil),"brake repair and replacement, brake systems expertise, critical thinker, customer service, decisive, dexterous with hand tools, diagnosis and repair, documentation, excellent problem solver, forklift, forms, legal, materials, mechanically-inclined, policies, preventative maintenance, problem solving skills, progress, quality assurance, read, repairs, responsible and reliable, safety, self-starter, skilled concrete finisher, strategic thinker, strong attention to detail, struts, supervisor, suspension and alignment, tear, troubleshooting",Diploma,experienced
mechanical designer,"automation design, budgetary and policy development, economic analysis, ergonomic and safety conscious, executive decision maker, lean & six sigma practitioner, new product development, process design & improvement, product design, project management & execution, quality control, strategic planning & development","Master of Business Administration, Bachelor of Science, Manufacturing Engineering Technology",experienced
machine learning (ml) engineer,"access, accounts payable, accounts payables, accounts receivable, accounts receivables, administrative functions, banking, bi, budget, clients, closing, computer applications, credit, customer service, data entry, delivery, driving, email, enterprise, excel, insurance, inventory, ledger, mortgage loan, outlook, phone, policies, powerpoint, quickbooks, sales, sales reports, telecommunications, trial balance, word, workflow, written",Computer Applications Specialist Certificate Program,experienced
civil engineer,"business analysis, business analytics, data analysis, data analytics, data science, machine learning","B.Tech, MBa",experienced
senior ios engineer,"access, adobe, advanced presentation, advanced problem solving abilities, basic financial and operational reporting, budgeting, business analysis, cross-functional team leadership, customer relations, developing other business analyst, document reports, fast learner, microsoft project, negotiation, oracle, organization, project coordinator, public speaking, python, quality assurance, quality control, research, sap, spss, sql, strong requirement tracing, superb communication skills",Bachelor of Arts,experienced
business development executive,"bert, deep learning, gpt, machine learning, natural language processing, nltk, ocr, python, sentiment analysis, text analysis, text extraction, xlnet",B.TECH,experienced
civil engineer,"aspen, catalysis, chemical engineering, compound synthesis, data analytics, deep learning, machine learning, matlab, minitab, process optimization, python, research analysis, research scientist","B.Tech, M.Tech",experienced
mechanical designer,"application programming, aws, client management, data science, machine learning, mysql, nlp, nosql, python, requirement gathering, server management, software development, system analysis, technical architecture",Bachelor of Engineering,experienced
"system administrator (operation & maintenance of server, storage & service desk system)","administrative assistant, benefits, clerical, clients, data entry, database, excel, experienced with microsoft office - word, features, filing, forms, gis, mail, mailing, meetings, microsoft office - word, office equipment, outlook, phone, policies, processes, reception, recording, retail, scanning, sharepoint, sharepoint & costpoint, telephone, typing",B.S. Degree,experienced
software_engineer,"3d modeling, 3dsmax, architectural drafting, autocad, carpentry, detail oriented, drafting, email, floor plans, frame, mechanical, messaging, microsoft office applications, multi-tasking, painting, problem solving skills, read blueprints, reading, renovation, revit, self-motivated, supervisor",A.A.S,experienced
software_engineer,"bert modelling, data cleaning, data computation libraries in python, data transition, data visualization, deep learning, machine learning, natural language processing, predictive analytics, python, scikit learn, tensorflow",B.Tech,experienced
senior ios engineer,"accounting, accounts payable, accounts receivable, administrative, agency, audit report, backup, bank reconciliations, basic, billing, budget preparation, budgets, cash register, cashier, catalog, clerical, client, conferences, contracts, data analysis, database, decision-making, direction, documentation, financial, financial analysis, financial statements, funds, generally accepted accounting principles, generally accepted auditing standards, implementing effective internal controls, interviewing techniques, legal, money, ms office, omb circular a-133, policies, processes, quickbooks, research & data gathering, video",Bachelor Business Administration,experienced
devops engineer,"2000, api, approach, atl, audio, backup, broadcast, c#, c++, ca, cli, clients, com, concept, content, documentation, drawing, dynamic html5, editing, explorer, ftp, functional, gui, hardware, http, ids, innovation, ip, javascript, json, lan, mb, mfc, migration, nas, office, oop, page, proxy, rendering, san, scrum, servers, specification, team management, threads, troubleshoot, video, video editing, visual c++, win, windows, workflow, writer, xml","M.S, B.E",experienced
executive/ sr. executive -it,"applied machine learning, computer vision, deep learning, guided mechanisms, optimization, parameter tuning, search algorithms",B.Tech,experienced
"system administrator (operation & maintenance of server, storage & service desk system)","agency, analyst, consulting, cost analysis, critical thinking, critical thinking skills, design process, designing, develop drug, dialysis, direction, functional, iia, iso, leadership, market and development, microsoft office, microsoft project, personnel management, prioritization, product development, product management, quality, research, researching, sales, six sigma, six sigma green belt, solid works, team management, validation, visio",Bachelor of Science,experienced
network support engineer,"access, accounts payable, accounts payables, accounts receivable, accounts receivables, administrative functions, banking, bi, budget, clients, closing, computer applications, credit, customer service, data entry, delivery, driving, email, enterprise, excel, insurance, inventory, ledger, mortgage loan, outlook, phone, policies, powerpoint, quickbooks, sales, sales reports, telecommunications, trial balance, word, workflow, written",Computer Applications Specialist Certificate Program,experienced
site engineer,"2000, 3ds max, 98, adobe dreamweaver, adobe photoshop, c++, creative thinker, detail-oriented, excellent time management skills, html, java, linux, mac os, matlab, microsoft office, mysql, perl, php, scheme, self-motivated, vista), windows (95, xp",B.S. in Computer Science,experienced
machine learning (ml) engineer,"adobe indesign, adobe photoshop, android, artificial intelligence, c, c#, c++, computer graphics, computer systems, cyber ethics, differential equations, discrete mathematics, dropbox, eclipse, emacs, google calendar, google drive, html, ii, ios, iworks, java, javascript, linux, microsoft office, mozilla thunderbird, mysql, osx, probability and stats, python, software practice i, sublime 2, swift, textwrangler, unity, unix terminal, visual studio, windows, xamarin studio, xcode",Associate of Applied Science,experienced
business development executive,"apache hive, apache pig, big data, computer vision, data analysis, data science, data visualization, deep learning, image processing, machine learning, nlp, python, sklearn, spark, sql, tensorflow","B.Tech, M.Tech",experienced
"system administrator (operation & maintenance of server, storage & service desk system)","artificial intelligence, data modeling, data validation, data visualization, deep learning, machine learning, matplotlib, method development, mongodb, mysql, plotly, python, seaborn",B.Tech,experienced
senior ios engineer,"c++, change management, data structures, defect management, embedded software development, embedded systems, git, machine learning, project management, python, unit testing","B.Tech, M.Tech",experienced
